,0,1
0,2019-09-16,20.142857142857142
1,2019-09-23,18.142857142857142
2,2019-09-30,14.142857142857142
3,2019-10-07,13.571428571428571
4,2019-10-14,9.857142857142858
5,2019-10-21,11.285714285714286
6,2019-10-28,8.142857142857142
7,2019-11-04,3.2857142857142856
8,2019-11-11,-3.857142857142857
9,2019-11-18,2.5714285714285716
10,2019-11-25,2.4285714285714284
11,2019-12-02,-0.8571428571428571
12,2019-12-09,-0.14285714285714285
13,2019-12-16,-3.5714285714285716
14,2019-12-23,2.142857142857143
15,2019-12-30,1.7142857142857142
16,2020-01-06,-1.4285714285714286
17,2020-01-13,-3.2857142857142856
18,2020-01-20,-2.0
19,2020-01-27,-2.4285714285714284
20,2020-02-03,-5.0
21,2020-02-10,-3.5714285714285716
22,2020-02-17,-3.4285714285714284
23,2020-02-24,-2.4285714285714284
24,2020-03-02,1.2857142857142858
25,2020-03-09,3.4285714285714284
26,2020-03-16,2.4285714285714284
27,2020-03-23,6.285714285714286
28,2020-03-30,6.571428571428571
29,2020-04-06,6.285714285714286
30,2020-04-13,5.428571428571429
31,2020-04-20,4.571428571428571
32,2020-04-27,10.571428571428571
33,2020-05-04,6.571428571428571
34,2020-05-11,9.857142857142858
35,2020-05-18,14.571428571428571
36,2020-05-25,20.0
37,2020-06-01,18.714285714285715
38,2020-06-08,18.857142857142858
39,2020-06-15,21.428571428571427
40,2020-06-22,22.857142857142858
41,2020-06-29,26.0
42,2020-07-06,26.714285714285715
43,2020-07-13,25.0
44,2020-07-20,24.571428571428573
45,2020-07-27,25.0
46,2020-08-03,23.0
47,2020-08-10,24.857142857142858
48,2020-08-17,23.285714285714285
49,2020-08-24,23.142857142857142
50,2020-08-31,21.571428571428573
51,2020-09-07,18.0
52,2020-09-14,15.142857142857142
53,2020-09-21,20.142857142857142
54,2020-09-28,14.714285714285714
55,2020-10-05,13.857142857142858
56,2020-10-12,12.714285714285714
57,2020-10-19,10.714285714285714
58,2020-10-26,5.571428571428571
59,2020-11-02,10.428571428571429
60,2020-11-09,10.857142857142858
61,2020-11-16,4.857142857142857
62,2020-11-23,4.571428571428571
63,2020-11-30,1.5714285714285714
64,2020-12-07,2.2857142857142856
65,2020-12-14,-1.5714285714285714
66,2020-12-21,0.5714285714285714
67,2020-12-28,0.14285714285714285
68,2021-01-04,-2.2857142857142856
69,2021-01-11,0.8571428571428571
70,2021-01-18,-3.857142857142857
71,2021-01-25,-6.857142857142857
72,2021-02-01,-5.285714285714286
73,2021-02-08,-9.0
74,2021-02-15,-8.0
75,2021-02-22,0.7142857142857143
76,2021-03-01,-3.4285714285714284
77,2021-03-08,3.4285714285714284
78,2021-03-15,2.5714285714285716
79,2021-03-22,7.571428571428571
80,2021-03-29,4.142857142857143
81,2021-04-05,9.285714285714286
82,2021-04-12,7.714285714285714
83,2021-04-19,6.571428571428571
84,2021-04-26,8.0
85,2021-05-03,8.0
86,2021-05-10,11.714285714285714
87,2021-05-17,18.142857142857142
88,2021-05-24,15.142857142857142
89,2021-05-31,18.714285714285715
90,2021-06-07,21.285714285714285
91,2021-06-14,18.857142857142858
92,2021-06-21,21.0
93,2021-06-28,21.428571428571427
94,2021-07-05,20.142857142857142
95,2021-07-12,23.0
96,2021-07-19,23.285714285714285
97,2021-07-26,21.142857142857142
98,2021-08-02,23.285714285714285
99,2021-08-09,25.428571428571427
